0. Megan Alice Clune                          Passage 1
1. Slove (Pachanga Boys edit)                 Flash
2. Pryda                                      Miami To Atlanta
3. Eelke Kleijn(Marten Fisher Vocal Extended Version) Celebrate life
4. Maceo Plex, Odd Parents                    Learn to fly
5. HOSH                                       Fighting the deamons
6. andhim (joris remix)                       Boy boy boy
7. HOSH                                       Sing Our Song
8. Mark Knight & Funkagenda                   Man
9. Guy Gerber                                 Timing
10. Zyce & Morten Granau                      Tribute to Bodzin
11. ARTBAT & Rafael Cerato                    Uplift
12. Terr                                      Metropolis
13. POLO & PAN                                Dorothy
14. Superpitcher                              Joanna
15. Djuma Soundsystem                         Les Djinns (Trentmoller remix)
16. Alex Niggemann (feat. Bon Homme)          Sorrow (Deetron remix)
17. Pryda                                     LYCKA
